Year,Branch No.,TFWS,LSCO,LSCH,LOPENO,LOPENH,LOBCO,LOBCH,GVJO,GVJH,GSTO,GSTH,GSCO,GSCH,GOPENO,GOPENH,GOBCO,GOBCH,GNT3O,GNT3H,GNT2O,GNT2H,GNT1O,GNT1H,DEFS
2015,541829310,43361,113824,135505,76937,77292,88199,92143,84640,135505,81303,130084,80895,130084,54202,85826,81946,92143,81303,86723,70462,92143,75882,140925,65042
2016,541829310,42765,171857,204592,72966,89455,98204,139122,114571,204592,122755,196408,86167,196408,81837,97088,92009,139122,85428,130939,106388,139122,84880,212776,78087
2017,541829310,49309,90633,107897,48071,74824,51790,73370,60422,107897,64738,103581,79735,103079,43159,101904,57504,73370,64738,69054,56106,73370,60422,112213,51790
2018,541829310,40707,170538,203022,94075,69661,97450,138055,113692,203022,121813,97332,129934,194901,81209,81761,89329,96917,121813,129934,105571,138055,113692,211143,63742
2013,541861210,28693,75320,89667,56914,92839,69132,85102,51556,89667,101598,98091,76806,110071,35867,58299,39453,106297,57604,96283,46627,60973,50213,93254,43040
2014,541861210,54870,144034,171470,75446,75446,82305,116599,91870,171470,102882,164611,77043,91006,68588,77312,75446,87266,102882,109740,89164,116599,96023,178328,82305
2015,541861210,46308,74308,144712,63673,75097,69250,75313,84640,77513,86827,88052,72860,96064,57885,63111,63673,75665,86615,69619,60492,95615,81039,67191,69462
2016,541861210,29179,108840,129572,99037,57011,62194,88109,101358,129572,77743,88895,77046,124389,51829,82358,77636,95487,77743,82926,56081,93635,72560,86359,94624
2017,541861210,33793,132428,157652,63859,103775,75673,107203,88285,157652,94591,85819,87519,74613,63061,66986,73338,91478,73377,100897,81979,107203,88285,98961,65019
2018,541861210,46635,78304,93220,41016,83789,44745,63389,68496,93220,96092,89491,54309,97426,37288,76296,78737,94252,55932,81630,38980,63389,52203,96948,15001
2013,613924510,10120,26567,33902,12394,9992,21133,19633,36030,31627,84470,71092,29848,43394,12651,13363,14963,19469,18976,20241,16446,21506,17711,48303,15181
2014,613924510,11364,46945,36230,17903,10983,21052,25513,19888,58671,21309,85832,42995,46608,14206,14717,18117,26842,21309,28548,18467,24150,22321,26563,17047
2015,613924510,11704,32828,34897,16132,17726,22704,24871,20482,36575,74520,35112,35917,61901,14630,16669,15523,26500,21945,23408,40127,34336,20482,59086,17556
2016,613924510,9259,31716,21704,15587,12474,18123,19323,68709,37757,22654,36247,27839,33336,15103,12646,16532,18661,42579,24164,19633,33342,21144,39267,23139
2017,613924510,10466,22885,41427,11302,10973,13182,13178,15257,28470,16347,26155,18932,41596,10898,10392,11079,17211,24928,29785,14167,28555,15257,28334,13077
2018,613924510,6858,17661,33051,7087,8428,15272,12103,11774,32911,12615,54705,18687,27958,8410,7529,9948,13191,12615,13456,14779,24854,17466,21866,10092
2013,613924520,13492,35416,42162,18551,18551,20238,28670,23611,42162,25297,40476,26984,40476,16865,20238,18551,28670,25297,26984,21924,28670,23611,43849,20238
2014,613924520,18588,48793,51833,27783,25300,42507,72020,56753,58087,34852,55764,72709,66522,23235,26562,30984,59166,69934,37176,30205,39499,32528,60411,27882
2015,613924520,15535,40779,45385,19175,20757,24266,28846,27186,90411,29128,69123,53970,46605,19419,20972,22978,33632,56260,38899,25244,64176,41143,50489,23302
2016,613924520,13271,34836,50027,16119,17220,19917,26099,23224,41472,24883,39813,34409,47840,16589,17449,18328,26213,24883,30584,21565,44993,23927,43131,19906
2017,613924520,11213,29435,50560,15962,14410,24557,22016,19623,35042,21025,33640,33649,47776,14017,14785,17775,21673,21025,22427,18222,23434,19623,26998,20937
2018,613924520,7880,20685,34013,11620,10034,18169,15027,33551,49626,14775,23640,27342,42528,9850,9420,10266,15210,14775,27678,12805,16745,13790,20905,11820
2013,613924610,15380,40372,32401,21502,22613,29221,43436,60982,83859,28837,107955,65650,83920,19225,22359,28206,41860,28837,69121,24992,65002,26915,77848,23070
2014,613924610,19866,52149,89576,27316,25033,25177,55673,34766,85882,37249,59599,58504,85848,24833,26516,24955,48332,37249,57031,52717,64995,34766,64565,29799
2015,613924610,17410,55486,94956,22488,21575,25919,51555,78302,54407,32644,52231,52832,77593,21763,28774,30700,48865,32644,34820,54092,56030,30468,63068,26115
2016,613924610,12573,45752,54625,21955,21462,25996,23121,87989,54467,32680,52288,43738,58183,21787,22254,21929,31825,32680,34859,28323,56624,30501,43208,26144
2017,613924610,14646,43557,41724,16255,16403,23508,27954,73194,42317,25390,40624,46377,65281,16927,18173,18937,28378,25390,37770,22005,28775,23697,41286,32553
2018,613924610,9680,27838,51832,13697,14369,14976,19715,17472,40385,18720,66736,37471,48841,12480,12237,14969,20490,18720,35228,39258,31717,17472,32448,17390
2013,613924620,21214,55687,66295,22002,32330,34456,81125,37125,66295,39777,63643,69342,63643,26518,33244,28710,70978,39777,97749,41634,47376,37125,68946,31821
2014,613924620,23017,60421,89251,26773,32509,33137,72684,40280,71930,43158,69052,62349,93599,28772,34628,33216,62698,43158,46035,37403,48912,40280,74807,34526
2015,613924620,24296,63779,75927,30273,34739,33564,56013,58481,75927,45556,68810,57153,72890,30371,36623,33408,55794,45556,48593,39482,82946,42519,76904,36445
2016,613924620,22009,52043,94554,23482,28239,28873,40022,38516,68780,41268,66028,50055,67770,27512,28886,30483,38294,41268,50867,35765,82102,38516,71531,33014
2017,613924620,15777,60972,101957,22745,22989,26300,33624,27610,49305,29583,47332,49176,76767,19722,23630,24195,33268,29583,31555,23277,64982,23744,51277,23666
2018,613924620,10615,27864,81247,14628,15440,19779,23561,62250,33172,19903,31845,38217,58480,13269,16291,16130,23999,21088,21230,17249,34636,18576,63203,15922
2013,613929310,9928,46878,96854,22767,22216,14893,28821,17375,53851,18616,110615,30279,69016,12411,21711,14797,31196,24019,19857,16134,21098,37536,58945,14893
2014,613929310,13976,36689,31603,16175,25155,25148,45594,24459,43677,26206,56789,52136,64993,17471,22871,23685,32066,26206,27953,36549,29700,24459,47484,20965
2015,613929310,16708,43860,34368,23013,29786,25063,50550,29240,54907,31329,41954,41471,86466,20886,27325,24202,48555,31329,45695,27151,30224,29240,54303,25063
2016,613929310,14540,42716,77380,27331,39101,30363,53105,35424,63257,47242,68661,25389,75935,25303,41188,27403,44369,37954,40484,34976,43015,43972,65787,32275
2017,613929310,12763,37751,32121,21935,30394,33088,37947,61842,44942,105176,87492,31280,86615,17977,30898,18885,41920,27302,34285,23370,46405,25167,38625,40976
2018,613929310,16516,59850,61895,17912,26087,23890,29791,25110,44840,26904,43046,40384,52491,17936,28629,24952,49182,26904,56201,20341,51185,25110,46633,21523
2013,613929320,17981,47201,111171,24724,32865,26972,71429,31467,56192,33715,53944,35242,53944,22477,39697,24973,107584,33715,35963,29220,87352,31467,58440,26972
2014,613929320,21886,57451,82177,43976,44440,45971,79949,38301,68395,79251,86885,43992,78582,27358,45748,29380,54145,29937,43772,35565,62345,58126,71130,32829
2015,613929320,21748,46743,67965,39823,50111,48911,83054,38060,67965,40779,72798,38893,95416,27186,48516,30240,63380,40779,38297,35341,63810,38060,97128,32623
2016,613929320,30257,79426,94555,34594,63587,50080,67392,52950,94555,86383,90772,51404,94423,37822,56711,39707,79579,56271,60515,49168,68380,52950,98337,50074
2017,613929320,17530,46017,91895,30388,52486,26295,77548,30678,54782,32869,104812,48005,69808,21913,42425,25277,44948,32869,35060,28486,52826,38218,46103,26295
2018,613929320,17257,45301,53930,26634,51901,36292,82037,51286,53930,32358,51772,43852,64362,21572,35216,26809,60889,32358,34515,28043,73980,30200,56087,47051
2013,613937210,12496,62886,63749,15776,22021,26830,46507,21868,39050,23430,37488,57551,86895,15620,23017,22193,54585,23430,62819,17366,54606,36244,101439,18744
2014,613937210,21741,68506,80027,25883,29574,34482,45399,73401,67942,40765,65224,36783,92461,27177,33871,34340,50048,40765,50008,43092,64088,38047,58319,32612
2015,613937210,26884,48360,67267,36224,43364,38796,90152,47047,84012,50407,80652,46853,94970,33605,47539,42581,91081,50407,53768,44150,88120,53803,58454,40326
2016,613937210,25302,67597,95917,33620,42568,48470,70360,58104,85970,51582,82531,56056,82531,34388,44897,40125,79476,51582,55020,37756,85383,57524,89408,36992
2017,613937210,20649,54043,98472,21855,33121,48926,55328,36029,64337,38602,61764,85466,90991,25735,35051,40869,58323,41558,42219,48745,102634,36029,64579,41823
2018,613937210,20664,44857,93037,24003,26097,26173,47637,33947,60620,36372,58195,64890,83027,24248,27075,29007,46833,36372,84310,51356,84945,33947,78458,33508
2013,613961210,5984,15708,43275,20699,25193,37691,40578,10472,52673,85978,96182,26689,47040,7480,9978,9684,12941,11220,11968,13063,20277,10472,18824,8976
2014,613961210,9019,92117,41832,33033,24524,41892,48925,15783,15904,45633,84966,27154,34534,11274,12644,13356,15483,23742,18038,16731,26452,15783,43570,13528
2015,613961210,10755,73744,56477,32673,22225,42518,61859,15191,62391,39845,79798,20471,52735,13444,15309,14894,18331,20166,23723,17477,21296,18821,19994,16132
2016,613961210,10726,44251,75369,27349,30639,77224,46168,49955,89444,60314,41702,27284,62476,17376,18268,19222,25925,26064,22898,25249,29157,24326,39316,27364
2017,613961210,11534,55201,56876,22672,25448,35568,40000,45494,77002,21696,34713,29550,59372,14464,14004,16347,28910,21696,30396,16019,18460,20249,19052,18064
2018,613961210,12874,92106,82613,21433,18759,31832,44300,20295,44100,21745,34792,35956,50267,14497,13587,16388,25673,24679,16822,18846,24318,26177,52589,17124
2013,613961220,7313,35475,62361,34496,31293,106838,61650,12798,76113,13713,21940,33413,59268,9142,12030,11290,13671,13713,23320,21653,24155,35979,23769,10970
2014,613961220,10857,35456,56365,34173,28570,47923,59559,42271,33930,20358,68865,30682,43155,13572,14607,13937,20470,20358,27779,17643,23072,19000,54040,16286
2015,613961220,12075,31697,92698,51837,33188,52158,63974,21131,84126,58406,36225,30234,63873,15094,16850,15656,21800,22641,24150,19622,30601,25433,39244,18112
2016,613961220,16346,43301,51082,34795,40334,46071,34736,28606,51082,30649,49039,44204,80319,20433,20503,20983,30119,30649,32692,26562,63496,28606,79968,24519
2017,613961220,13280,96388,104804,26791,28563,41063,81542,23241,41502,24901,39842,40453,61577,16601,17650,16885,32434,24901,36690,21581,35112,23241,85049,19921
2018,613961220,14279,37482,84640,22342,20535,21418,37045,74324,73362,26773,42837,39412,65940,17849,15264,19520,28056,26773,27879,40398,34428,24988,67880,22104
2013,614524510,36432,85779,86309,36883,34271,72345,64821,63757,113852,68311,109298,89617,103792,45541,41487,63620,95769,76916,72865,99404,87669,63757,118406,54649
2014,614524510,40884,89608,76984,40019,49174,84597,65441,71548,61386,76659,122654,78506,91901,51106,56463,56596,75075,76659,76892,53627,72197,71548,132875,61327
2015,614524510,35949,84428,87503,40840,51279,53588,62811,61469,67812,76192,68217,78465,95229,44937,53347,48497,76537,67405,79480,78817,93826,60453,65816,53924
2016,614524510,19983,49176,48225,29663,33289,40775,40077,68483,91322,54793,87669,68417,70099,36529,35841,41107,42959,54793,63498,45862,56426,51140,86762,27901
2017,614524510,19319,56774,44201,26269,29633,34228,39841,39411,84157,42226,67562,54867,75951,28151,31837,35184,38716,42226,45041,39184,41083,39411,46828,33547
2018,614524510,17350,43351,44847,20880,20794,24684,22212,28434,58667,30465,48744,44032,64014,20310,21727,24050,29586,46497,42548,33999,31795,32761,52007,24715
2013,614524610,52970,139047,165532,56800,57360,71358,108646,92698,165532,99319,158911,101735,102054,66213,70527,72834,81392,99319,105940,86076,100785,92698,172153,79455
2014,614524610,55874,146670,82806,76827,69956,72421,82160,97780,174607,104764,167623,111748,167623,69843,78423,71407,88706,104764,111748,90795,118733,97780,181591,83811
2015,614524610,46060,93087,90038,71587,73791,88156,88247,80605,143937,86362,138180,87336,96584,57575,77750,60118,89203,86362,92120,74847,84603,80605,149695,69090
2016,614524610,32424,91169,87389,46187,43276,74075,46686,60779,108535,65121,104193,69098,94281,43414,44449,47044,48451,65121,88582,72076,63044,60779,112876,52096
2017,614524610,22725,63777,93399,9773,37196,43890,40764,42518,75522,45555,72888,58545,63317,30370,41454,41391,46507,45555,78006,39481,67074,42518,70864,24769
2018,614524610,20294,62363,82088,30638,31768,47326,36921,83190,68681,42634,68215,49075,84299,28423,32729,32638,40867,42634,56600,36949,48319,39792,73899,33525
2013,614529310,25736,67559,72374,72707,68358,79006,91262,45039,80427,87304,83152,54043,77210,32171,57998,37803,78524,48256,107290,41822,65417,45039,83644,38605
2014,614529310,35030,91954,109470,64611,57988,65252,84835,61303,109470,65682,105091,55242,82599,43788,74188,48464,82244,65682,70060,56924,74439,72534,83392,52545
2015,614529310,40980,107574,128065,56348,62307,62296,87084,71716,128065,76839,122942,54436,122942,51226,73322,52980,91867,76616,81961,66593,87084,77941,133187,61471
2016,614529310,25384,57196,115697,39717,91653,71005,78674,64790,115697,99525,72242,72743,82983,46279,69449,53558,96634,69418,74046,60162,92510,64790,120325,56304
2017,614529310,24427,74500,71698,50777,69370,47450,82691,55358,98855,59313,94900,68630,99574,39542,76171,44160,96548,59313,78785,51748,67221,54915,102809,47450
2018,614529310,30756,66427,79080,57925,57793,81697,97701,44284,79080,47448,89909,32918,75916,31632,53332,37262,70325,47448,50611,45807,83785,63186,82243,29975
2013,614537210,37791,80062,102819,45078,57101,69279,82138,67012,118097,70858,113373,63989,113373,47239,75954,52444,62157,73242,107440,61410,80306,66134,122821,56686
2014,614537210,59826,157044,186957,75700,82261,89739,127131,104696,186957,112174,179479,91621,179479,74783,84760,82261,127131,112174,119652,97217,127131,104696,194435,89739
2015,614537210,72261,189686,225817,89246,88619,108392,153555,126457,225817,135490,216784,144523,216784,90327,86919,99359,97645,135490,144523,117425,153555,126457,234850,108392
2016,614537210,43527,98855,191710,66294,98589,81620,130362,107357,191710,115026,184041,76794,184041,76684,98567,90171,130362,85586,122694,99689,130362,107357,199378,92020
2017,614537210,34908,114445,102336,51004,74465,61388,89001,76297,136245,81747,130795,87196,86634,54498,79663,103443,104195,81747,87196,70847,92646,61170,86721,44301
2018,614537210,38427,128261,152692,71136,60316,73292,80007,85507,152692,91615,146584,97723,97140,61077,66257,69725,98329,91615,97723,92524,103830,85507,158800,73292
2013,614561210,15007,43857,90887,86294,78745,23065,83546,26262,93787,102915,45875,42502,63932,18759,23263,22264,31386,28138,30014,22548,33455,48413,63247,22510
2014,614561210,22829,60592,75274,31390,79212,36912,50442,64255,72112,92779,68488,56472,71484,28537,40617,35483,48146,34698,42257,37098,44259,39951,81836,34244
2015,614561210,24464,65265,92327,33638,76011,35710,51986,42812,59406,45870,73392,64486,83634,30580,43352,35454,57209,46234,44567,39754,51841,32440,63665,36696
2016,614561210,19363,77968,92820,56921,75675,44553,63117,69590,55651,56435,89107,46248,90782,37128,42154,44599,58406,55692,60075,47576,53458,60455,96532,32204
2017,614561210,24328,57768,96804,47257,61029,103171,80219,62456,81754,41263,66021,35918,98287,27509,32545,35256,55269,29430,70359,46012,85581,38512,71523,23357
2018,614561210,19800,63934,76112,26056,96218,36534,51756,59677,76112,45667,73068,59392,90660,30445,34328,34460,66294,45667,38412,39578,76330,63163,74793,37298
2013,614561220,19209,50425,76161,25480,86849,28814,38935,33616,60030,36018,57628,63524,88674,24012,29277,26873,54155,89438,58451,31215,40820,33616,97525,28814
2014,614561220,28226,74094,89265,38811,80271,43039,53780,49396,88207,52924,84679,62511,82599,35283,43224,39019,55166,50443,43371,45867,59981,69787,91735,42339
2015,614561220,27113,68442,84730,37281,37281,40670,63976,47448,84730,50838,81340,42165,81340,33892,48050,41538,61520,50838,62122,44059,56298,47448,88119,40670
2016,614561220,32351,84921,101097,87146,97733,48526,68746,56614,101097,60658,97053,58429,62012,40439,49045,46458,64809,60658,83912,52570,68746,56614,105141,38916
2017,614561220,5485,14399,17142,7542,87717,8228,11656,9599,17142,10285,16456,53443,103661,6857,39354,44370,73763,10285,80562,8914,11656,9599,47580,82832
2018,614561220,29496,77429,92177,40558,69447,44245,62680,51619,92177,55306,88490,88422,88490,36871,43174,43802,77659,55306,57101,40008,62680,51619,95864,44245
2013,615624510,20453,61305,79600,22318,19181,41449,43568,54940,97077,38350,61360,79775,91371,25567,23002,42538,45308,53246,66903,33237,80589,35793,64177,30680
2014,615624510,28424,64155,85072,32268,29737,36210,53294,49743,88827,52603,85274,58175,80798,35531,31757,38995,54060,53296,50058,83068,60402,49743,50210,42637
2015,615624510,22706,59604,70957,33259,31221,37464,48251,69668,70957,42574,68119,47114,74336,28383,28659,32233,53417,42574,38467,53931,73271,44585,68959,34059
2016,615624510,13745,55180,67275,24461,22352,31101,30053,45049,57464,58273,61375,56190,71173,25573,22468,27444,33142,26494,52104,44506,71742,35802,66489,20659
2017,615624510,16468,52086,53352,17973,17622,18944,25100,71010,103723,29913,47860,46477,65796,19942,17644,23995,25522,29913,38277,39761,45900,27918,61217,35451
2018,615624510,12332,49981,63800,16653,10832,19976,21080,21046,97291,22549,36079,42994,53305,15033,11550,18978,21400,24861,32589,19542,30860,23877,55329,12911
2013,615624610,26380,69249,101978,38993,26243,42847,41984,46166,82440,49464,79142,52761,79142,32976,35660,51682,58546,49464,52761,42868,57868,46166,85737,39571
2014,615624610,32663,65840,102072,36811,44911,45467,76050,57160,102072,61243,97989,70578,97989,40829,45222,56691,78910,61243,65326,53077,69409,57160,106155,48994
2015,615624610,29116,76431,90990,39395,39695,64656,74375,50954,90990,96668,87350,63804,87350,36396,42323,42449,64289,54594,58838,47314,83794,50954,94629,43675
2016,615624610,20957,63170,89881,30854,29279,32269,34386,42113,75202,45121,72194,55857,81962,30081,30621,32617,39332,71401,48129,39105,51137,36859,40256,36097
2017,615624610,19083,53456,80979,24394,21883,32865,32378,35579,63535,38121,60993,49218,85688,25414,25622,27174,37268,38121,48419,33038,43203,35579,66076,40395
2018,615624610,16397,36445,63249,19560,14245,21992,24290,88458,43387,26032,41652,39624,68679,17355,17410,20098,25196,26032,48632,34851,33084,24297,45123,22459
2013,615629310,28964,76030,95223,57126,55566,60076,109293,56608,90512,100382,86892,58568,77654,36205,52361,42371,79226,54307,57928,87452,61548,50687,111812,43446
2014,615629310,33876,90004,105862,83455,74623,84173,85133,59282,105862,68362,101628,50596,101628,42345,75510,47654,80108,74872,67752,55048,71986,59282,110097,50814
2015,615629310,27632,55103,86350,34488,73434,46444,90523,48356,80024,51810,82896,49679,86505,34540,58356,42659,74754,51810,55264,44902,76458,48356,97128,41448
2016,615629310,23979,57945,106832,47942,85052,64290,72646,59826,106832,58895,102559,43400,102559,42733,63644,45528,89720,64099,68372,55552,65605,59826,111105,51279
2017,615629310,24267,67315,80137,33592,59196,42089,95900,62765,80137,48082,76932,64639,101259,32055,47609,34648,65301,48082,51288,41671,78265,44877,96076,64318
2018,615629310,23627,76082,87668,28037,39421,63226,94618,41669,74410,44646,71433,38013,97544,29764,36063,31159,70129,39231,47622,38693,56754,41669,77386,64425
2013,615637210,22676,111740,109985,27936,25375,47122,109798,39683,70862,42517,68028,76171,86440,28345,39222,56790,96647,42517,63759,41583,54013,67979,77489,34014
2014,615637210,40487,79886,126522,49935,61860,58628,73650,89434,126522,75913,121461,74730,121461,50609,73061,62955,86035,54204,79340,64885,86035,70852,79528,60730
2015,615637210,48034,126090,150107,56640,69582,69612,96134,84060,150107,90064,144103,83952,79836,60043,76169,68151,97504,81975,96068,78055,102073,84060,95234,72051
2016,615637210,28614,97615,60970,45795,56172,60651,95858,68460,122250,73350,117360,84705,117360,48900,59523,56702,97937,73350,73693,84836,83130,68460,127140,49073
2017,615637210,25350,85257,101497,35410,46007,50080,68851,56838,101497,60898,97437,64958,90961,40599,50194,58982,94475,60898,64958,52778,57405,56838,105557,35931
2018,615637210,24459,94493,92100,38907,28288,52942,71454,46936,83815,50289,80462,72791,80462,33526,30236,51808,72295,50289,94051,74815,56994,46936,63895,61906
2013,615661210,9795,51899,92986,36598,33705,44221,56308,40094,65019,61678,105277,34689,58795,12244,15213,15528,20713,18366,33786,15917,30294,17141,85035,14692
2014,615661210,13988,35651,53572,51210,41368,74470,75573,55414,71640,88083,41964,32549,52284,17485,20421,20866,27773,26227,36174,22730,34261,24479,40275,20982
2015,615661210,15739,38554,74907,47096,39180,67244,92743,27543,49185,85014,85975,38153,64567,19674,23667,25996,30337,29511,27457,25252,35377,29970,40160,23608
2016,615661210,13864,93683,62465,53132,36652,62307,86188,45438,79704,99867,59966,37181,77737,24986,26978,28897,42194,37479,42011,48445,78078,26337,52531,39362
2017,615661210,15136,42539,44246,37917,29478,54209,51766,28359,104927,30385,48616,49135,81312,20257,18495,27319,36053,35304,37891,26334,22342,45224,49524,21359
2018,615661210,16080,45324,70758,44723,21143,93715,63936,30216,49522,32374,36025,58212,73254,21583,16443,28862,30524,52180,53128,28057,16553,85294,53994,32781
2013,615661220,11996,31491,111045,61673,47227,27322,27051,20994,37490,22494,35990,59780,71943,14996,18243,24179,26701,22494,51037,19494,68380,37951,38989,17995
2014,615661220,21828,57300,68215,30014,73348,39271,51925,38200,92590,40929,65486,36863,65486,27286,25005,27341,47213,40929,43657,41631,46386,38200,70943,32743
2015,615661220,18541,49329,84812,60960,51595,73147,97167,61224,57942,34765,55624,29873,81810,23177,67244,27485,36135,27835,37083,30130,52526,32447,60260,27812
2016,615661220,23083,60593,72135,80070,48585,93962,49051,81710,72135,76270,69249,47417,97306,28854,30425,35831,49382,43281,59732,37510,49051,40395,80613,48845
2017,615661220,20094,52747,62795,66125,42492,71926,82216,78097,62795,37677,60283,44098,102958,25118,21159,28013,39012,37677,40188,26015,66969,35165,70970,30141
2018,615661220,19929,52315,62280,54956,40521,29894,42350,62391,96558,37368,59788,60592,93967,24912,18760,29713,38387,37368,64161,51708,55198,34876,64771,29894
2013,616019120,43945,115357,137330,60425,60425,65918,93384,76904,137330,82398,131836,87891,131836,54932,65918,60425,93384,82398,87891,71411,93384,76904,142823,65918
2014,616019120,44144,69894,137950,60698,86428,77575,90439,77252,137950,77461,132432,69173,132432,55180,64401,75727,87499,82770,88288,71734,93806,77252,143468,66216
2015,616019120,32146,84384,100457,61406,95250,72380,67264,87704,100457,60274,83287,42963,73949,40183,58662,44201,63783,60274,64292,52237,68344,56256,97040,48219
2016,616019120,43945,76221,137330,68795,72271,99783,93414,76904,89850,81374,131836,56266,66525,54932,61140,55681,77720,82398,87891,71411,93384,76904,142823,65918
2017,616019120,29700,77964,92815,60397,81032,68950,96083,51976,92815,55689,73254,70163,87270,37126,66433,44616,78616,55689,77254,60105,84067,57987,96527,90888
